id|trad|simp|jyutping
164|一條氣|一条气|jat1 tiu4 hei3
165|一梯兩伙|一梯两伙|jat1 tai1 loeng5 fo2
166|一樂也|一乐也|jat1 lok6 jaa5
167|一樓一鳯|一楼一鳯|jat1 lau4 jat1 fung6
168|一樓一鳳|一楼一凤|jat1 lau4 jat1 fung6
169|一模一樣|一模一样|jat1 mou4 jat1 joeng6
170|一樣米養百樣人|一样米养百样人|jat1 joeng6 mai5 joeng5 baak3 joeng6 jan4
171|一檔|一档|jat1 檔:dong2
172|一次起兩次止|一次起两次止|jat1 ci3 hei2 loeng5 ci3 zi2
173|一次過|一次过|jat1 ci3 gwo3
174|一步|一步|jat1 bou6
175|一步一步|一步一步|jat1 bou6 jat1 bou6
176|一死一傷|一死一伤|jat1 sei2 jat1 soeng1
177|一死了之|一死了之|jat1 sei2 liu5 zi1
178|一段|一段|jat1 dyun6
179|一殼眼淚|一壳眼泪|jat1 hok3 ngaan5 leoi6
180|一毛錢|一毛钱|jat1 mou4 cin4
181|一氧化碳中毒|一氧化碳中毒|jat1 joeng5 faa3 taan3 zung1 duk6
182|一池春水|一池春水|jat1 ci4 ceon1 seoi2
183|一池秋水|一池秋水|jat1 ci4 cau1 seoi2
184|一決勝負|一决胜负|jat1 kyut3 sing3 fu6
185|一沉百踩|一沉百踩|jat1 cam4 baak3 caai2
186|一派|一派|jat1 paai3
187|一流|一流|jat1 lau4
188|一瀉千里|一泻千里|jat1 se3 cin1 lei5
189|一物治一物，糯米治木蝨|一物治一物，糯米治木虱|jat1 mat6 zi6 jat1 mat6 ，no6 mai5 zi6 muk6 sat1
190|一班人|一班人|jat1 baan1 jan4
191|一理通，百理明|一理通，百理明|jat1 lei5 tung1 baak3 lei5 ming4
192|一生人|一生人|jat1 sang1 jan4
193|一番|一番|jat1 faan1
194|一疋布咁長|一匹布咁长|jat1 pat1 bou3 gam3 coeng4
195|一登龍門|一登龙门|jat1 dang1 lung4 mun4
196|一發|一发|jat1 faat3
197|一百|一百|jat1 baak3
198|一百萬|一百万|jat1 baak3 maan6
199|一百零一|一百零一|jat1 baak3 ling4 jat1
200|一皮|一皮|jat1 pei4
201|一皮嘢|一皮嘢|jat1 pei4 je5
202|一盅兩件|一盅两件|jat1 zung1 loeng5 gin6
203|一盤水|一盘水|jat1 pun4 seoi2
204|一直行|一直行|jat1 zik6 haang4
205|一眼睇晒|一眼睇晒|jat1 ngaan5 tai2 saai3
206|一眼關七|一眼关七|jat1 ngaan5 gwaan1 cat1
207|一眾|一众|jat1 zung3
208|一碌杉|一碌杉|jat1 luk1 caam3
209|一碗|一碗|jat1 wun2
210|一碟齋|一碟斋|jat1 dip6 zaai1
211|一磚豆腐想升仙|一砖豆腐想升仙|jat1 zyun1 dau6 2 fu6 soeng2 sing1 sin1
212|一萬|一万|jat1 maan6
213|一窿蛇|一窿蛇|jat1 lung4 se4
214|一站式|一站式|jat1 zaam6 sik1
215|一端|一端|jat1 dyun1
216|一竹篙打一船人|一竹篙打一船人|jat1 zuk1 gou1 daa2 jat1 syun4 jan4
217|一竹篙打死一船人|一竹篙打死一船人|jat1 zuk1 gou1 daa2 sei2 jat1 syun4 jan4
218|一竹篙揇沉一船人|一竹篙揇沉一船人|jat1 zuk1 gou1 naam5 cam4 jat1 syun4 jan4
219|一筆還一筆|一笔还一笔|jat1 bat1 waan4 jat1 bat1
220|一等兵|一等兵|jat1 dang2 bing1
221|一箭雙雕|一箭双雕|jat1 zin3 soeng1 diu1
222|一箸夾中|一箸夹中|jat1 zyu6 gaap3 zung1
223|一粒嘢|一粒嘢|jat1 lap1 je5
224|一粒神|一粒神|jat1 nap1 san4
225|一粒花|一粒花|jat1 nap1 faa1
226|一統天下|一统天下|jat1 tung2 tin1 haa6
227|一經|一经|jat1 ging1
228|一群|一群|jat1 kwan4
229|一而再|一而再|jat1 ji4 zoi3
230|一肚氣|一肚气|jat1 tou5 hei3
231|一脈相傳|一脉相传|jat1 mak6 soeng1 cyun4
232|一腳牛屎|一脚牛屎|jat1 goek3 ngau4 si2
233|一腳踏兩船|一脚踏两船|jat1 goek3 daap6 loeng5 syun4
234|一腳踢|一脚踢|jat1 goek3 tek3
235|一自|一自|jat1 zi6
236|一致|一致|jat1 zi3
237|一舉成名|一举成名|jat1 geoi2 sing4 ming4
238|一舊飯|一旧饭|jat1 gau6 faan6
239|一色|一色|jat1 sik1
240|一草|一草|jat1 cou2
241|一處|一处|jat1 cyu3
242|一蟹不如一蟹|一蟹不如一蟹|jat1 haai5 bat1 jyu4 jat1 haai5
243|一表人才|一表人才|jat1 biu2 jan4 coi4
244|一見鍾情|一见钟情|jat1 gin3 zung1 cing4
245|一覽表|一览表|jat1 laam5 biu2
246|一言以蔽|一言以蔽|jat1 jin4 ji5 bai3
247|一言堂|一言堂|jat1 jin4 tong4
248|一言驚醒夢中人|一言惊醒梦中人|jat1 jin4 ging1 sing2 mung6 zung1 jan4
249|一講曹操，曹操就到|一讲曹操，曹操就到|jat1 gong2 cou4 cou1 cou4 cou1 zau6 dou3
250|一路上|一路上|jat1 lou6 soeng6
251|一路路|一路路|jat1 lou6 lou6
252|一身債|一身债|jat1 san1 zaai3
253|一身蟻|一身蚁|jat1 san1 ngai5
254|一身鬆|一身松|jat1 san1 sung1
255|一輪嘴|一轮嘴|jat1 leon2 zeoi2
256|一轆木|一辘木|jat1 luk1 muk6
257|一轆木噉|一辘木啖|jat1 luk1 muk6 gam2
258|一轆杉|一辘杉|jat1 luk1 caam3
259|一邊倒|一边倒|jat1 bin1 dou2
260|一部|一部|jat1 bou6
261|一部份|一部份|jat1 bou6 fan6
262|一醉解千愁|一醉解千愁|jat1 zeoi3 gaai2 cin1 sau4
263|一鑊|一镬|jat1 wok6
264|一鑊泡|一镬泡|jat1 wok6 pou5
265|一鑊熟|一镬熟|jat1 wok6 suk6
266|一鑊粥|一镬粥|jat1 wok6 zuk1
267|一鑊繑起|一镬繑起|jat1 wok6 kiu5 hei2
268|一門|一门|jat1 mun4
269|一陣|一阵|jat1 zan6
270|一陣間|一阵间|jat1 zan6 gaan3
271|一陣陣|一阵阵|jat1 zan6 zan6
272|一陣風|一阵风|jat1 zan6 fung1
273|一隅|一隅|jat1 jyu4
274|一隻屐|一只屐|jat1 zek3 kek6
275|一隻屐噉|一只屐啖|jat1 zek3 kek6 gam2
276|一隻牛|一只牛|jat1 zek3 ngau4
277|一隻狗噉|一只狗啖|jat1 zek3 gau2 gam2
278|一雙|一双|jat1 soeng1
279|一雙鞋|一双鞋|jat1 soeng1 haai4
280|一雞死，一雞鳴|一鸡死，一鸡鸣|jat1 gai1 sei2 ，jat1 gai1 ming4
281|一雞死一雞鳴|一鸡死一鸡鸣|jat1 gai1 sei2 jat1 gai1 ming4
282|一面|一面|jat1 min6
283|一面屁|一面屁|jat1 min6 pei3
284|一項|一项|jat1 hong6
285|一頭…一頭…|一头…一头…|jat1 tau4 …jat1 tau4…
286|一頭半個月|一头半个月|jat1 tau4 bun3 go3 jyut6
287|一頭半月|一头半月|jat1 tau4 bun3 jyut6
288|一頭家|一头家|jat1 tau4 gaa1
289|一頭煙|一头烟|jat1 tau4 jin1
290|一頸血|一颈血|jat1 geng2 hyut3
291|一額汗|一额汗|jat1 ngaak6 hon6
292|一飛沖天|一飞冲天|jat1 fei1 cung1 tin1
293|一餐|一餐|jat1 caan1
294|一餐飯|一餐饭|jat1 caan1 faan6
295|一髮千鈞|一发千钧|jat1 faat3 cin1 gwan1
296|一鳴驚人|一鸣惊人|jat1 ming4 ging1 jan4
297|一點鐘|一点钟|jat1 dim2 zung1
298|一齊|一齐|jat1 cai4
299|丁|丁|ding1
300|丁屋|丁屋|ding1 uk1
301|丁等|丁等|ding1 dang2
302|七一遊行|七一游行|cat1 jat1 jau4 hang4
303|七仔|七仔|cat1 zi2
304|七個一皮|七个一皮|cat1 go3 jat1 pei4
305|七個字|七个字|cat1 go3 zi6
306|七出|七出|cat1 ceot1
307|七十七|七十七|cat1 sap6 cat1
308|七十二行|七十二行|cat1 sap6 ji6 hong4
309|七千|七千|cat1 cin1
310|七名|七名|cat1 ming4
311|七嘴八舌|七嘴八舌|cat1 zeoi2 baat3 sit3
312|七國咁亂|七国咁乱|cat1 gwok3 gam3 lyun6
313|七大洲|七大洲|cat1 daai6 zau1
314|七姊妹|七姊妹|cat1 zi2 mui6
315|七姊妹道|七姊妹道|cat1 zi2 mui6 dou6
316|七姐|七姐|cat1 ze2
317|七孔生煙|七孔生烟|cat1 hung2 sang1 jin1
318|七彩|七彩|cat1 coi2
319|七情上面|七情上面|cat1 cing4 soeng5 min6
320|七情六慾|七情六欲|cat1 cing4 luk6 juk6
321|七情六欲|七情六欲|cat1 cing4 luk6 juk6
322|七手八腳|七手八脚|cat1 sau2 baat3 goek3
323|七扶八插|七扶八插|cat1 fu4 baat3 caap3
324|七折八扣|七折八扣|cat1 zit3 baat3 kau3
325|七擒七縱|七擒七纵|cat1 kam4 cat1 zung3
326|七支八離|七支八离|cat1 zi1 baat3 lei4
327|七日|七日|cat1 jat6
328|七星岩|七星岩|cat1 sing1 ngaam4
329|七星茶|七星茶|cat1 sing1 caa4
330|七月一號|七月一号|cat1 jyut6 jat1 hou6
331|七月三十號|七月三十号|cat1 jyut6 saam1 sap6 hou6
332|七步成詩|七步成诗|cat1 bou6 sing4 si1
333|七百|七百|cat1 baak3
334|七窮六絕|七穷六绝|cat1 kung4 luk6 zyut6
335|七絃琴|七弦琴|cat1 jin4 kam4
336|七行詩|七行诗|cat1 hong4 si1
337|七言詩|七言诗|cat1 jin4 si1
338|七除八扣|七除八扣|cat1 ceoi4 baat3 kau3
339|七零八落|七零八落|cat1 ling4 baat3 lok6
340|七顛八倒|七颠八倒|cat1 din1 baat3 dou2
341|七點鐘|七点钟|cat1 dim2 zung1
342|三|三|saam1
343|三Ｔ|三T|saam1 Ｔ
344|三九兩丁七|三九两丁七|saam1 gau2 loeng5 ding1 cat1
345|三九唔識七|三九唔识七|saam1 gau2 m4 sik1 cat1
346|三九四零五二|三九四零五二|saam1 gau2 sei3 ling4 ng5 ji6
347|三五知己|三五知己|saam1 ng5 zi1 gei2
348|三人性交|三人性交|saam1 jan4 sing3 gaau1
349|三仔|三仔|saam1 zai2
350|三個字|三个字|saam1 go3 zi6
351|三個骨|三个骨|saam1 go3 gwat1
352|三元里|三元里|saam1 jyun4 lei5
353|三元里站|三元里站|saam1 jyun4 lei5 zaam6
354|三兩下手勢|三两下手势|saam1 loeng5 haa5 sau2 sai3
355|三八婦女節|三八妇女节|saam1 baat3 fu5 neoi5 zit3
356|三六|三六|saam1 luk6
357|三六香肉|三六香肉|saam1 luk6 hoeng1 juk6
358|三分顏色上大紅|三分颜色上大红|saam1 fan1 ngaan4 sik1 soeng5 daai6 hung4
359|三十一日|三十一日|saam1 sap6 jat1 jat6
360|三十一號|三十一号|saam1 sap6 jat1 hou6
361|三十三|三十三|saam1 sap6 saam1
362|三十日|三十日|saam1 sap6 jat6
363|三千|三千|saam1 cin1
364|三及第|三及第|saam1 kap6 dai6
365|三口兩脷|三口两脷|saam1 hau2 loeng5 lei6
366|三口六面|三口六面|saam1 hau2 luk6 min6
367|三句不離本行|三句不离本行|saam1 geoi3 bat1 lei4 bun2 hong4
368|三合板|三合板|saam1 gap3 baan2
369|三唔識七|三唔识七|saam1 m4 sik1 cat1
370|三國|三国|saam1 gwok3
371|三國時代|三国时代|saam1 gwok3 si4 doi6
372|三姑六婆|三姑六婆|saam1 gu1 luk6 po4
373|三寸金蓮|三寸金莲|saam1 cyun3 gam1 lin4
374|三寸釘|三寸钉|saam1 cyun3 deng1
375|三尖八角|三尖八角|saam1 zim1 baat3 gok3
376|三岔路口|三岔路口|saam1 caa3 lou6 hau2
377|三幅被|三幅被|saam1 fuk1 pei5
378|三年|三年|saam1 nin4
379|三幾|三几|saam1 gei2
380|三度空間|三度空间|saam1 dou6 hung1 gaan1
381|三心兩意|三心两意|saam1 sam1 loeng5 ji3
382|三思|三思|saam3 si1
383|三急|三急|saam1 gap1
384|三扒兩撥|三扒两拨|saam1 paa4 loeng5 but6
385|三方|三方|saam1 fong1
386|三日|三日|saam1 jat6
387|三日兩夜|三日两夜|saam1 jat6 loeng5 je6
388|三日兩頭|三日两头|saam1 jat6 loeng5 tau4
389|三更窮五更富|三更穷五更富|saam1 gaang1 kung4 ng5 gaang1 fu3
390|三月二十一號|三月二十一号|saam1 jyut6 ji6 sap6 jat1 hou6
391|三朝|三朝|saam1 ciu4
392|三朝元老|三朝元老|saam1 ciu4 jyun4 lou5
393|三板|三板|saam1 baan2
394|三板斧|三板斧|saam1 baan2 fu2
395|三枝桅|三枝桅|saam1 zi1 ngai4
396|三柴|三柴|saam1 caai4
397|三條|三条|saam1 tiu4
398|三棟屋博物館|三栋屋博物馆|saam1 dung6 uk1 bok3 mat6 gun2
399|三步揦埋兩步|三步揦埋两步|saam1 bou6 laa3 maai4 loeng5 bou6
400|三歲定八十|三岁定八十|saam1 seoi3 ding6 baat3 sap6
401|三江|三江|saam1 gong1
402|三蒸酒|三蒸酒|saam1 zing1 zau2
403|三百|三百|saam1 baak3
404|三相|三相|saam1 soeng3
405|三粒星|三粒星|saam1 nap1 sing1
406|三索|三索|saam1 sok3
407|三索線|三索线|saam1 sok3 sin3
408|三維電影|三维电影|saam1 wai4 din6 jing2
409|三緘其口|三缄其口|saam1 gaam1 kei4 hau2
410|三缺一|三缺一|saam1 kyut3 jat1
411|三腳凳|三脚凳|saam1 goek3 dang3
412|三腳櫈|三脚凳|saam1 goek3 dang3
413|三腳雞|三脚鸡|saam1 goek3 gai1
414|三花|三花|saam1 faa1
415|三蕃市|三蕃市|saam1 faan4 si5
416|三藩市交通局|三藩市交通局|saam1 faan4 si5 gaau1 tung1 guk6
417|三藩市城市鐵路|三藩市城市铁路|saam1 faan4 si5 sing4 si5 tit3 lou6
418|三藩市華埠|三藩市华埠|saam1 faan4 si5 waa4 fau6
419|三蛇|三蛇|saam1 se4
420|三蛇羹|三蛇羹|saam1 se4 gang1
421|三行|三行|saam1 hang4
422|三行仔|三行仔|saam1 hong4 zai2
423|三行佬|三行佬|saam1 hong4 lou2
424|三衰六旺|三衰六旺|saam1 seoi1 luk6 wong6
425|三角尺|三角尺|saam1 gok3 cek3
426|三角架|三角架|saam1 gok3 gaa2
427|三角測量|三角测量|saam1 gok3 caak1 loeng4
428|三角皮帶|三角皮带|saam1 gok3 pei4 daai2
429|三角鐵|三角铁|saam1 gok3 tit3
430|三足鼎立|三足鼎立|saam1 zuk1 ding2 laap6
431|三重彩|三重彩|saam1 cung4 coi2
432|三項鐵人|三项铁人|saam1 hong6 tit3 jan4
433|三鳥|三鸟|saam1 niu5
434|三點三|三点三|saam1 dim2 saam1
435|三點式|三点式|saam1 dim2 sik1
436|三點鐘|三点钟|saam1 dim2 zung1
437|上|上|soeng5
438|上上下下|上上下下|soeng6 soeng6 haa6 haa6
439|上下九|上下九|soeng6 haa6 gau2
440|上便|上便|soeng6 bin6
441|上個禮拜|上个礼拜|soeng5 go3 lai5 baai3
442|上列|上列|soeng6 lit6
443|上半場|上半场|soeng6 bun3 coeng4
444|上半部|上半部|soeng6 bun3 bou6
445|上品|上品|soeng6 ban2
446|上嚟|上嚟|soeng5 lai2
447|上址|上址|soeng6 zi2
448|上堂|上堂|soeng5 tong4
449|上士|上士|soeng6 si6
450|上天堂|上天堂|soeng5 tin1 tong4
451|上天無路|上天无路|soeng6 tin1 mou4 lou6
452|上契|上契|soeng5 kai3
453|上山|上山|soeng5 saan1
454|上岸|上岸|soeng5 ngon6
455|上市|上市|soeng5 si5
456|上得山多終遇虎|上得山多终遇虎|soeng5 dak1 saan1 do1 zung1 jyu6 fu2
457|上情下達|上情下达|soeng6 cing4 haa6 daat6
458|上數|上数|soeng6 sou3
459|上斜|上斜|soeng5 ce4
460|上晝|上昼|soeng6 zau3
461|上朝|上朝|soeng5 ciu4
462|上架|上架|soeng5 gaa2
463|上機|上机|soeng5 gei1
464|上氣唔接下氣|上气唔接下气|soeng6 hei3 m4 zip3 haa6 hei3
465|上海人|上海人|soeng6 hoi2 jan4
466|上海灘|上海滩|soeng6 hoi2 taan1
467|上海街|上海街|soeng6 hoi2 gaai1
468|上湯|上汤|soeng6 tong1
469|上漆|上漆|soeng5 cat1
470|上畫|上画|soeng5 waa2
471|上皮組織|上皮组织|soeng6 pei4 zou2 zik1
472|上盤|上盘|soeng6 pun4
473|上空裝|上空装|soeng6 hung1 zong1
474|上窰民俗文物館|上窑民俗文物馆|soeng6 jiu4 man4 zuk6 man4 mat6 gun2
475|上等貨|上等货|soeng6 dang2 fo3
476|上策|上策|soeng6 caak3
477|上算|上算|soeng6 syun3
478|上網|上网|soeng5 mong5
479|上聯|上联|soeng6 lyun4
480|上腦|上脑|soeng5 nou5
481|上臂|上臂|soeng6 bei3
482|上臺|上台|soeng5 toi4
483|上色|上色|soeng6 sik1
484|上落|上落|soeng5 lok6
485|上蠟|上蜡|soeng5 laap6
486|上車|上车|soeng5 ce1
487|上車盤|上车盘|soeng6 ce1 pun4
488|上鋪|上铺|soeng6 pou1
489|上鏈|上链|soeng5 lin6
490|上陣不離父子兵|上阵不离父子兵|soeng5 zan6 bat1 lei4 fu6 zi2 bing1
491|上電|上电|soeng5 din6
492|上面|上面|soeng6 min6
493|上頭|上头|soeng6 tau4
494|上顎|上颚|soeng6 ngok6
495|上香|上香|soeng5 hoeng1
496|上馬|上马|soeng5 maa5
497|上高|上高|soeng6 gou1
498|下下|下下|haa6 haa6
499|下世投胎|下世投胎|haa6 sai3 tau4 toi1
500|下中農|下中农|haa6 zung1 nung4
501|下乘|下乘|haa6 sing6
502|下人|下人|haa6 jan4
503|下低|下低|haa6 dai1
504|下便|下便|haa6 bin6
505|下個禮拜|下个礼拜|haa6 go3 lai5 baai3
506|下午茶|下午茶|haa6 ng5 caa4
507|下半場|下半场|haa6 bun3 coeng4
508|下半晝|下半昼|haa6 bun3 zau3
509|下去|下去|haa6 heoi3
510|下咽|下咽|haa6 jin3
511|下啖氣|下啖气|haa6 daam6 hei3
512|下嫁|下嫁|haa6 gaa3
513|下定|下定|haa6 deng6
514|下巴輕輕|下巴轻轻|haa6 baa1 hing1 hing1
515|下年|下年|haa6 nin4
516|下底|下底|haa6 dai2
517|下情上達|下情上达|haa6 cing4 soeng6 daat6
518|下懷|下怀|haa6 waai4
519|下扒|下扒|haa6 paa4
520|下扒輕輕|下扒轻轻|haa6 paa4 hing1 hing1
521|下文|下文|haa6 man4
522|下晏|下晏|haa6 aan3
523|下晝|下昼|haa6 zau3
524|下欄|下栏|haa6 laan4
525|下氣|下气|haa6 hei3
526|下水船|下水船|haa6 seoi2 syun4
527|下火|下火|haa6 fo2
528|下爬輕輕|下爬轻轻|haa6 paa4 heng1 heng1
529|下班時間|下班时间|haa6 baan1 si4 gaan3
530|下環|下环|haa6 waan4
531|下盤|下盘|haa6 pun4
532|下等|下等|haa6 dang2
533|下策|下策|haa6 caak3
534|下聯|下联|haa6 lyun4
535|下芳村|下芳村|haa6 fong1 cyun1
